Training Set (2017-2019)                                       Test Set (2020-2022),,,,
Epoch,Training RMSE,RMSE SD,Test RMSE,RMSE SD
1,17.305048,4.922457,17.40945,4.7154055
2,16.883598,4.918712,16.995764,4.70966
3,4.8024054,1.6601744,4.7529006,1.7138046
4,3.8510716,1.5927944,3.7471411,1.5847739
5,5.0314884,1.6514924,5.0546975,1.7097756
6,2.6629815,0.6955298,2.6698298,0.7498852
7,4.5091066,1.3823992,4.510505,1.423175
8,2.743237,0.9668969,2.6712127,0.9908969
9,2.2679727,0.68676305,2.2479422,0.70751184
10,2.4642034,0.728575,2.462247,0.6916064
11,2.0465128,0.6442512,1.9892375,0.60272807
12,2.4450047,0.89761674,2.3819528,0.88287187
13,2.1428893,0.5825587,2.094255,0.5939008
14,2.734973,0.62701553,2.7813685,0.6734888
15,1.7914739,0.47423682,1.7265614,0.501403
16,2.305725,0.6214169,2.2419324,0.6538637
17,1.6852337,0.51425457,1.6701548,0.5828252
18,2.136815,0.5298289,2.1606483,0.509329
19,1.5584158,0.49869344,1.5103028,0.50602764
20,1.9466203,0.60399526,1.8750517,0.6148656
21,1.9290729,0.49184012,1.9632417,0.5764442
22,1.4557937,0.41455612,1.420313,0.44050813
23,1.5588762,0.4662791,1.5100003,0.48489282
24,1.5277147,0.39527175,1.4950088,0.38312048
